Epoch:[3/500]-[44/93] --> d_loss: 1.439, g_loss:0.826, g_recon_loss:0.572
Epoch:[3/500]-[45/93] --> d_loss: 1.433, g_loss:0.821, g_recon_loss:0.567
Epoch:[3/500]-[46/93] --> d_loss: 1.435, g_loss:0.827, g_recon_loss:0.575
Epoch:[3/500]-[47/93] --> d_loss: 1.430, g_loss:0.822, g_recon_loss:0.571
Epoch:[3/500]-[48/93] --> d_loss: 1.437, g_loss:0.821, g_recon_loss:0.565
Epoch:[3/500]-[49/93] --> d_loss: 1.431, g_loss:0.824, g_recon_loss:0.576
Epoch:[3/500]-[50/93] --> d_loss: 1.439, g_loss:0.827, g_recon_loss:0.566
Epoch:[3/500]-[51/93] --> d_loss: 1.438, g_loss:0.828, g_recon_loss:0.574
Epoch:[3/500]-[52/93] --> d_loss: 1.433, g_loss:0.821, g_recon_loss:0.569
Epoch:[3/500]-[53/93] --> d_loss: 1.436, g_loss:0.823, g_recon_loss:0.568
Epoch:[3/500]-[54/93] --> d_loss: 1.436, g_loss:0.823, g_recon_loss:0.577
Epoch:[3/500]-[55/93] --> d_loss: 1.433, g_loss:0.822, g_recon_loss:0.575
Epoch:[3/500]-[56/93] --> d_loss: 1.432, g_loss:0.822, g_recon_loss:0.577
Epoch:[3/500]-[57/93] --> d_loss: 1.435, g_loss:0.823, g_recon_loss:0.575
Epoch:[3/500]-[58/93] --> d_loss: 1.429, g_loss:0.825, g_recon_loss:0.585
Epoch:[3/500]-[59/93] --> d_loss: 1.433, g_loss:0.825, g_recon_loss:0.587
Epoch:[3/500]-[60/93] --> d_loss: 1.431, g_loss:0.824, g_recon_loss:0.574
Epoch:[3/500]-[61/93] --> d_loss: 1.430, g_loss:0.820, g_recon_loss:0.571
Epoch:[3/500]-[62/93] --> d_loss: 1.431, g_loss:0.824, g_recon_loss:0.588
Epoch:[3/500]-[63/93] --> d_loss: 1.434, g_loss:0.821, g_recon_loss:0.569
Epoch:[3/500]-[64/93] --> d_loss: 1.434, g_loss:0.820, g_recon_loss:0.569
Epoch:[3/500]-[65/93] --> d_loss: 1.431, g_loss:0.823, g_recon_loss:0.576
Epoch:[3/500]-[66/93] --> d_loss: 1.431, g_loss:0.823, g_recon_loss:0.570
Epoch:[3/500]-[67/93] --> d_loss: 1.430, g_loss:0.821, g_recon_loss:0.570
Epoch:[3/500]-[68/93] --> d_loss: 1.431, g_loss:0.821, g_recon_loss:0.574
Epoch:[3/500]-[69/93] --> d_loss: 1.429, g_loss:0.821, g_recon_loss:0.578
Epoch:[3/500]-[70/93] --> d_loss: 1.429, g_loss:0.821, g_recon_loss:0.579
Epoch:[3/500]-[71/93] --> d_loss: 1.432, g_loss:0.826, g_recon_loss:0.581
Epoch:[3/500]-[72/93] --> d_loss: 1.429, g_loss:0.820, g_recon_loss:0.576
Epoch:[3/500]-[73/93] --> d_loss: 1.427, g_loss:0.821, g_recon_loss:0.582
Epoch:[3/500]-[74/93] --> d_loss: 1.428, g_loss:0.819, g_recon_loss:0.571
Epoch:[3/500]-[75/93] --> d_loss: 1.425, g_loss:0.819, g_recon_loss:0.571
Epoch:[3/500]-[76/93] --> d_loss: 1.434, g_loss:0.818, g_recon_loss:0.567
Epoch:[3/500]-[77/93] --> d_loss: 1.428, g_loss:0.820, g_recon_loss:0.575
Epoch:[3/500]-[78/93] --> d_loss: 1.428, g_loss:0.820, g_recon_loss:0.577
Epoch:[3/500]-[79/93] --> d_loss: 1.424, g_loss:0.818, g_recon_loss:0.571
Epoch:[3/500]-[80/93] --> d_loss: 1.433, g_loss:0.824, g_recon_loss:0.573
Epoch:[3/500]-[81/93] --> d_loss: 1.430, g_loss:0.823, g_recon_loss:0.578
Epoch:[3/500]-[82/93] --> d_loss: 1.429, g_loss:0.820, g_recon_loss:0.578
Epoch:[3/500]-[83/93] --> d_loss: 1.424, g_loss:0.818, g_recon_loss:0.575
Epoch:[3/500]-[84/93] --> d_loss: 1.422, g_loss:0.818, g_recon_loss:0.573
Epoch:[3/500]-[85/93] --> d_loss: 1.427, g_loss:0.821, g_recon_loss:0.576
Epoch:[3/500]-[86/93] --> d_loss: 1.425, g_loss:0.818, g_recon_loss:0.566
Epoch:[3/500]-[87/93] --> d_loss: 1.423, g_loss:0.818, g_recon_loss:0.573
Epoch:[3/500]-[88/93] --> d_loss: 1.423, g_loss:0.818, g_recon_loss:0.579
Epoch:[3/500]-[89/93] --> d_loss: 1.422, g_loss:0.820, g_recon_loss:0.576
Epoch:[3/500]-[90/93] --> d_loss: 1.421, g_loss:0.818, g_recon_loss:0.575
Epoch:[3/500]-[91/93] --> d_loss: 1.429, g_loss:0.822, g_recon_loss:0.572
Epoch:[3/500]-[92/93] --> d_loss: 1.423, g_loss:0.816, g_recon_loss:0.564
Epoch:[3/500]-[93/93] --> d_loss: 1.423, g_loss:0.818, g_recon_loss:0.578
Epoch (4/500)-----------------------------------------------------------------------
Epoch:[4/500]-[1/93] --> d_loss: 1.424, g_loss:0.816, g_recon_loss:0.569
Epoch:[4/500]-[2/93] --> d_loss: 1.420, g_loss:0.817, g_recon_loss:0.576
Epoch:[4/500]-[3/93] --> d_loss: 1.420, g_loss:0.819, g_recon_loss:0.584
Epoch:[4/500]-[4/93] --> d_loss: 1.421, g_loss:0.818, g_recon_loss:0.578
Epoch:[4/500]-[5/93] --> d_loss: 1.419, g_loss:0.816, g_recon_loss:0.568
